,ord,information
8882,solne,5.742763002923695
4753,kries,5.741753962710114
8569,slade,5.739247872488229
5360,lones,5.739073306457985
5169,lasen,5.737797998886012
342,alter,5.73692669460245
1582,doles,5.73612509198139
8800,snoer,5.735605835523894
9272,sulen,5.734751256547211
2781,gaser,5.734153513514745
5126,lages,5.733688455948708
9259,suder,5.733375076243372
8213,sidet,5.731307473875694
8780,snert,5.731182546655967
308,alges,5.729420231358061
6137,narte,5.728509745056871
6291,nules,5.728094207045176
7604,reals,5.727166135492626
318,alkes,5.726238074393105
4301,kaset,5.7259847830856705
8316,skaer,5.7249966515487705
3127,gures,5.7239317610448905
9795,tides,5.723684362221324
8409,skred,5.722440241220032
9184,stuer,5.721910769407972
2764,ganes,5.721125002309991
4368,kiles,5.720160736336362
7740,riste,5.7200699927560095
7641,rends,5.718356232022516
8238,silde,5.717390195877662
8816,snuer,5.716920010689018
8903,sonte,5.7167517601254065
8608,slien,5.7155918963621755
1440,daler,5.7143184612133995
9811,tiler,5.712764560878204
8121,saver,5.710717831536121
8113,sarve,5.709586388646304
5313,liret,5.709379023871424
530,asner,5.70897411623825
1662,drues,5.707596060876698
8596,slent,5.707213067043323
5423,lunes,5.706055487398903
8180,sendt,5.705818146130779
7551,ralts,5.704134402081883
8191,seret,5.703503346930612
7817,rudes,5.702503801157289
8855,sodet,5.702211736231356
9581,søler,5.700490308229898
5441,luser,5.698600358851876
9507,sæler,5.697847082580661
8225,siger,5.697322946056741
9819,tilse,5.696583695711303
2775,garet,5.696132658375373
8177,senat,5.695554682841583
9851,tisle,5.694576218479475
7736,risle,5.694100968459513
7798,roste,5.693098800226228
5151,laner,5.6921193737851965
511,arves,5.691845317662533
7595,ratle,5.690435129822419
5258,lides,5.690376745723058
8061,sagte,5.689890663325145
5562,læres,5.688066745268634
10061,træes,5.687819157450093
5158,lanse,5.686978926164065
6430,oaser,5.686473394242881
6466,oldes,5.6859467120047995
7571,rante,5.685597653560904
7548,ralen,5.685211546627779
9671,talen,5.684994480178453
8913,soten,5.684427850985056
8087,samer,5.684311138848404
345,altre,5.683273838021512
6892,orkes,5.682337234856508
6446,odles,5.681507642665194
8801,snoet,5.680231324135967
8101,sanke,5.679855554851954
8872,solde,5.6796574025360265
8065,sakte,5.67951947983115
7527,radet,5.678787162546432
7598,raves,5.677187971403517
4295,karte,5.676334233509256
1554,diser,5.675190236696959
259,agles,5.6727214374319015
8861,soger,5.6717041793935845
602,bales,5.670682470498254
6282,notes,5.670635325181981
5443,luset,5.67003828754381
3877,ildes,5.669963809902314
9138,store,5.66984289145478
9583,sølet,5.669720137133807
503,arten,5.667776414641691
8818,snuet,5.667745801930054
8907,sorge,5.667281864143809
7732,risen,5.666142223585498
9975,trane,5.66572793333048
484,armes,5.665264321637295
7877,ruste,5.664757054763175
1468,dater,5.664707183913833
7696,riges,5.664566213598441
8777,snelt,5.66397924265623
532,asnet,5.663912189388404
4859,kules,5.663764843611891
5153,lanet,5.662421731388845
7583,raske,5.662037751279314
281,akser,5.661741091820175
1442,dalet,5.660936185067421
1629,drase,5.6605871675554065
8056,sagen,5.660056096864914
5651,males,5.660008770014709
9260,sudet,5.659563188659053
9444,syret,5.658525330130756
8805,snore,5.6584372218555705
9946,tosel,5.658115464245409
10106,tuler,5.657093338730342
1443,dalre,5.656460580864156
9651,tadre,5.655952131592693
7592,raten,5.655374808941862
10092,tudes,5.654163951615866
10732,unser,5.653234337696267
6126,nalre,5.65318474021059
5437,luret,5.652554356006198
6115,nages,5.6509904848312
1606,doser,5.650338409545962
6978,pales,5.6497474401064895
11095,vires,5.649434874788592
467,arens,5.649416643453258
9102,stile,5.649021695210098
8589,sledt,5.648197219510826
9264,suger,5.646778101348856
8209,sidel,5.645876436674561
4400,kiser,5.645570788988131
10672,uldes,5.645266465912083
8058,sagne,5.645100552143146
1594,dones,5.644215354311234
8334,skare,5.643960523209103
8123,savet,5.643080413066759
10187,tyres,5.642455538166648
7772,roges,5.641998037512901
53,adler,5.641861615758533
5316,lirte,5.641136428615668
4286,karle,5.640278644858271
9521,sæter,5.640086778592011
1453,daner,5.63995932605157
6230,niset,5.638900561536897
8169,seler,5.638565058386429
5323,liste,5.638025729773621
7790,rosen,5.637976570438085
5117,lader,5.637637875249879
10132,tusle,5.637292682874023
7874,rusle,5.6372096179599875
9609,søren,5.637127952861422
9726,taves,5.636178675405262
2159,fares,5.6361164128712264
11538,ærtes,5.635221507190969
297,alder,5.634878579617165
8099,sange,5.6345475436840395
331,aloes,5.634439896011049
4305,kaste,5.6337707171070015
8227,siget,5.631690726384162
8105,saper,5.630562728163793
8604,slide,5.629455913593844
9835,tiner,5.629030410860709
11169,vores,5.628601386266496
8244,silke,5.624966516945974
9046,stade,5.624582537086346
562,avles,5.624428525708275
4731,krase,5.6243089838272375
9936,torne,5.623582741929644
4717,kraet,5.623400971917815
5818,mires,5.623091991593451
4229,kalet,5.622120846766313
3063,grues,5.621711418943289
9670,talde,5.620528071943401
8236,sikre,5.620470109865605
8210,siden,5.619957782388531
8254,sinde,5.619730060653794
9714,taske,5.619718142754313
5387,ludes,5.619607454473465
9655,tager,5.619289006961997
393,anges,5.619148440721233
4296,karts,5.618909289228698
6372,næres,5.617167105208672
2740,galer,5.6162440417974135
7830,ruges,5.6150450986304135
1884,døres,5.614883257198628
10955,vaser,5.613681150881488
11698,ørnes,5.613648046029655
8573,slage,5.6134790660686615
3107,gules,5.613361050068654
9935,toren,5.61300703647598
9092,stien,5.612501571556513
6300,nurse,5.612350133390338
2729,gades,5.612047905624643
4281,karen,5.6117761915625675
493,arpes,5.6117701128636455
412,ankes,5.61125653643831
9923,toner,5.610241159759828
7053,perts,5.610180393022808
1556,diset,5.610129697064955
5368,lorte,5.609130525489813
8366,skier,5.607983823074609
7866,rusen,5.607925378882845
6135,narde,5.607843290062879
1429,dages,5.6075401705114345
6271,noret,5.6068831289317025
4397,kirse,5.6060881613305735
10109,tulre,5.605605691354053
8863,soget,5.604598186892191
6213,nides,5.604562053068754
4298,kasen,5.604469105631725
8411,skreg,5.604334213250391
1072,bores,5.603597778933592
7573,rapes,5.602903197137034
8171,selet,5.601432953161697
4252,kaner,5.600969117144727
10453,udles,5.60029155540171
470,arget,5.599516488623667
1753,duser,5.599379241306014
9972,trals,5.599194035558335
9479,såret,5.599188688296397
10126,turne,5.598286276304532
4670,kones,5.5958221673227255
9645,tabes,5.595229371828273
8896,sonde,5.59508704033843
9802,tiers,5.594723000279831
9904,toges,5.59460184406328
2842,geras,5.593876602132967
6882,orets,5.593034471899169
5187,laves,5.592652993917874
1736,dunes,5.5925005968005586
8082,salve,5.59195401983446
10919,vanes,5.5916953335473
10121,turen,5.590979097974164
8852,soden,5.590723821524168
480,arket,5.590632162947931
9743,tegls,5.5899763905489275
55,adlet,5.589318548462726
270,agtes,5.58914368734812
5325,liter,5.588935263343935
5235,leres,5.58881663471435
7628,regns,5.588325340270875
7784,rolte,5.587551976253503
1458,danse,5.587405295372965
9132,stole,5.587365487240503
11703,ørset,5.586657952003024
653,baser,5.5861142080516615
283,akset,5.586055674538402
5317,lisen,5.5857620311849425
10753,urets,5.585515539451837
8993,spred,5.584826608130059
5878,mores,5.5847561750064365
6947,ovres,5.584239598061489
5439,lurte,5.583594116089985
2784,gaste,5.582845736640502
1241,bures,5.582149210672578
10232,tåres,5.58209097976537
9419,syler,5.580956429697819
5119,ladet,5.580405343159413
6615,ondes,5.580337562704455
9266,suget,5.579545812706438
5272,liges,5.579441351436049
1513,deris,5.579401230914364
5695,maser,5.579267157744359
6249,nodes,5.578926882826097
263,agnes,5.578882471040613
9261,sudle,5.578684438824224
9522,sætre,5.5781985169896435
5483,lyres,5.57731239603299
9590,sølte,5.577201574177524
10114,tuner,5.576713041638833
386,aners,5.575692837588112
5320,lisne,5.575306490903252
8075,salme,5.575008299219597
7544,raket,5.574976695453985
298,aldre,5.573408601086301
2742,galet,5.572724285537882
10317,tøser,5.572513640910506
9258,sudel,5.572369820558363
8866,soire,5.5722677632375275
4690,korse,5.571127926452817
9933,torde,5.570372134704614
5328,litse,5.570053710750084
5173,laske,5.56991356060017
3898,ilter,5.568932149681549
8429,skrue,5.5686872292355725
5101,køres,5.568572668612225
622,banes,5.568402246143561
5956,mures,5.56822760212219
9896,toers,5.567796748461186
3019,grase,5.567682551688495
9271,sukre,5.566970058687944
7857,runse,5.566941264785714
9977,trans,5.566692890823758
10327,uarte,5.566600028986374
8107,sapet,5.566202642621181
6925,oster,5.566108487574306
9276,sulke,5.565963615552201
4057,ivres,5.565953374348409
10939,varet,5.565691530636251
10688,ulkes,5.5655238531813875
1749,duret,5.565437404668219
1540,diler,5.564912991813976
5048,kæres,5.564519621547377
3894,ilkes,5.56388765102741
325,almes,5.562980916810866
4684,koret,5.562784070032403
9794,tider,5.562680845774589
7559,rande,5.561844962878725
3921,indes,5.561686621649074
8323,skale,5.56168641226301
6909,ornte,5.5600796908437236
7838,rulte,5.559285280339199
4287,karls,5.559094924274613
7358,pures,5.558852896209552
338,alstr,5.55856299061283
8339,skate,5.558133610375087
7906,ryles,5.558061232899944
341,alten,5.557781747702768
6232,niste,5.557614456817156
8055,sagde,5.556368119034488
647,barse,5.556024897801324
8283,siver,5.555954927623023
6472,olies,5.555682547414672
8387,skoer,5.555106060922415
4210,kages,5.554713933884956
5310,liren,5.554249523953227
7240,pores,5.553999049852619
7653,reols,5.553977082860047
3029,grels,5.553420487159794
5343,loges,5.553387920200129
9772,terps,5.552650820881756
9421,sylet,5.55219730847784
9756,teles,5.551907626049667
5668,manes,5.55153912032841
10002,trine,5.551284028845336
8182,sener,5.550944410030637
8770,snedt,5.548422829423176
10957,vaset,5.547898060483928
9745,tegns,5.54767664947917
7982,ræset,5.547513704347881
8673,sløre,5.54746995465123
5369,lorts,5.547087805954936
300,alens,5.546986480090995
8629,slude,5.54662543101566
7852,runet,5.546600643062368
2763,ganer,5.546503513993014
6875,ordet,5.54648909427095
8124,savle,5.546444513725711
7524,raden,5.546024415942449
9284,sunde,5.545903766420968
5370,losne,5.5458152598114
4697,koset,5.5454458589162074
2800,gears,5.545203451996175
9496,sæder,5.543499503088874
2780,gasen,5.543448448075628
8070,salep,5.542719006514181
10099,tuers,5.542651841831864
8763,snart,5.542283318106566
7683,ridse,5.5422356373261685
638,baret,5.541943282787071
5327,litre,5.5414788270569115
8258,sintr,5.541460973435193
9539,søder,5.541270505296956
10714,undes,5.540914809827799
11511,æltes,5.540608817831887
9327,svare,5.540259313831531
4893,kuret,5.540221504988894
2882,giret,5.53985399906645
8786,snide,5.538135767219563
5165,large,5.537795550515775
8911,sortn,5.537223330692283
8231,sigte,5.536874262949008
5307,linse,5.536719511796946
1605,dorte,5.536506572768399
5297,liner,5.535873766582471
1581,doler,5.535840875732394
8919,sover,5.535414090010779
8368,skiet,5.534902706522796
536,asten,5.534351306201702
1755,duset,5.534117164070781
8465,skuer,5.533769676811592
4279,karde,5.533237205222332
9183,stuen,5.533104359397656
4030,ister,5.532837100075001
9664,takse,5.532753625420634
5447,luter,5.53256935396825
1439,dalen,5.5324834782359416
8261,sirat,5.532406085924933
9580,sølen,5.532226196360971
7708,rilen,5.531853342797642
8247,simer,5.5316268045586785
8257,sinke,5.531313633518513
307,alger,5.531254487774965
9506,sælen,5.530841274063674
5401,luges,5.530018387508602
5125,lager,5.529960621257648
10120,turde,5.529756085434848
4254,kanet,5.529034629323202
5135,laker,5.528921878489038
9937,torns,5.528327192578432
11015,verst,5.528183455685837
5440,lusen,5.526984643407047
7682,ridet,5.52667519765529
566,avnes,5.526392456353001
9684,tande,5.5263000716672
5268,liers,5.525397048941734
2130,fales,5.52539442163071
3131,guser,5.5249852717905235
5367,lorne,5.524713153385649
6414,nøles,5.524661808520618
7751,rives,5.5244062359334105
3946,ipres,5.524312906870737
3957,irske,5.5242159854569
317,alker,5.522852826469482
6256,noler,5.522455911656407
8090,samle,5.522190852378414
10328,uarts,5.522074565888946
4367,kiler,5.5215282157098295
8120,saven,5.519877014369452
9441,syren,5.519567122663151
9473,såler,5.519173067385871
3296,hares,5.519022194125973
4431,klase,5.5187500786823085
897,biles,5.518750051406364
527,asker,5.518491404141564
5365,loren,5.518396549340666
5513,låres,5.518176122783727
8755,snage,5.5180624975977475
4009,isner,5.517087489162994
7605,realt,5.516674240839197
11154,voles,5.516646145969281
8045,sable,5.516536496860979
5359,loner,5.515708262057814
3002,gorse,5.515089070702205
3903,iltre,5.515031680534444
11410,ytres,5.514920896447851
3226,gøres,5.514856222365235
10639,ugles,5.514147494758585
4762,krise,5.512876920886731
8266,sirpe,5.512838998169
5697,maset,5.51248703694898
5791,miles,5.511995152829415
7966,rædes,5.511900045358114
7997,rødes,5.511583886961523
8994,sprek,5.511467712077049
7540,ragte,5.511401057031335
2999,goret,5.511021638308581
9424,sylre,5.510422543823507
8044,sabel,5.5101023346728715
10531,udser,5.509937946630723
5121,ladte,5.509746975823143
3195,gæres,5.5094844062347175
9049,stage,5.508679952143421
9445,syrne,5.508614422311237
6154,naves,5.50848334695618
9776,teser,5.5083162980804214
6915,orten,5.507958724981405
8224,sigen,5.5078749771624915
6900,ormes,5.507803410478079
3032,grens,5.507722206193571
5299,linet,5.5067248505664566
1841,dæles,5.506715387210572
3853,igles,5.506405089170052
4741,kreds,5.506327659376206
7642,rendt,5.505928065335538
286,akter,5.50586133181911
274,airen,5.50535071713637
6459,okser,5.504915969670357
3942,insel,5.50449880171038
7763,rodet,5.5044755133731424
2290,fires,5.504386388696872
10012,troen,5.504240225374355
10773,urten,5.503607379144068
7009,paset,5.503363365918011
9348,svier,5.503350750075859
284,aksle,5.503219870138143
1631,drats,5.502846320677189
5551,lænes,5.502831330725334
6334,nyres,5.501810881665369
8184,senet,5.501601140381522
9432,syner,5.500813732942639
279,aksel,5.500602982863541
7547,rakte,5.500355593763668
4428,klare,5.50012148807093
7712,rimes,5.499905097293621
9675,talge,5.49962424302671
10021,trone,5.499198170261601
9798,tidse,5.4990876307553105
5337,loers,5.498989938849697
8609,slige,5.498821569104446
2752,galte,5.498756316454481
3020,grate,5.498471940247402
8126,savne,5.498307333857876
7091,piles,5.498140319025544
1654,drose,5.498041887236155
5610,løser,5.496969041898613
8935,spare,5.496811259335897
7687,riens,5.49678506289304
8848,sober,5.49612219306009
7950,råles,5.495916506812338
1460,dante,5.495705573284464
1800,dyres,5.4950709567414915
8581,slant,5.494680588141191
10091,tuder,5.49460026117306
6144,naske,5.494597437146402
5434,luren,5.494486013835554
8229,signe,5.494416095565675
3888,ilers,5.494339355768502
10867,vades,5.494190334626582
7560,rands,5.493719014933944
6290,nuler,5.493521208401482
6880,orens,5.493290105108182
10950,varte,5.493211004464308
5568,læser,5.493178805475099
10027,truen,5.492976109791373
1553,disen,5.492944034775387
5210,legns,5.492608793323352
6302,nusle,5.4924577944669135
4692,korte,5.492439561640078
9475,sålet,5.490483607526705
8285,sivet,5.49008590375327
5137,lakse,5.4899539817934855
1042,boles,5.489369923908435
2962,gnies,5.489208489577922
6429,oasen,5.488981251962506
11232,vules,5.48874150517812
367,amnes,5.488181493055779
4228,kalen,5.4880757864347345
6258,nolet,5.488073085742824
8570,sladr,5.487417742290806
1546,diner,5.487205051291577
4621,kodes,5.487171264805181
4398,kisel,5.486808414396547
5361,lonet,5.486764633534978
1610,doter,5.486647841249909
6281,noter,5.486363666382384
8096,sandt,5.486158071795107
3128,guret,5.486144812764159
5257,lider,5.4860374496934705
10751,urens,5.485849595520939
10892,valer,5.485840417128545
6445,odler,5.48574939257314
6465,older,5.485602724996427
3871,iktes,5.485494131958761
8086,samen,5.485226172336569
7839,rults,5.484368434948127
2772,garde,5.484039043290329
2765,ganet,5.483941611552717
5450,lutre,5.483623735715499
4404,kiste,5.4835826294896455
8415,skrev,5.483100242049821
382,andre,5.482994068687865
522,asier,5.482098969518023
5429,lunse,5.48085427461708
8585,slatn,5.4804184420073545
8797,snode,5.480008778893559
9712,tarve,5.479958195369613
5127,laget,5.479668501455421
1583,dolet,5.479371606574884
5422,luner,5.479296951443355
9231,stære,5.47908399012755
8388,skoet,5.478742678245244
10223,tåles,5.478735994672851
1601,dorne,5.478431328139943
4735,krats,5.4776026095338155
258,agler,5.477368901980173
7656,reset,5.477074695207962
6269,norel,5.476734521628746
6456,okret,5.4764868594937575
8168,selen,5.475861030374287
1667,druse,5.475573048796747
9517,særke,5.475170185269964
4725,krane,5.475103644793587
8758,snalr,5.475084302634751
10680,ulets,5.473027538367266
573,bades,5.472636453190278
10105,tulen,5.472268360610554
5130,lagre,5.4722299745831195
4011,isnet,5.472200242952997
7731,riseg,5.471986770516025
6114,nager,5.47183524500068
1593,doner,5.471562873276126
7671,revls,5.4713726906553735
8834,snære,5.4709574399912375
7538,ragle,5.470849203365141
7645,renes,5.4707894788719935
8355,skelt,5.47073942008702
8977,spled,5.470717866597982
7766,roens,5.470602017186951
5394,luers,5.46997157849935
5763,mestr,5.469957569411067
9999,trils,5.4699272843174285
301,alert,5.469759248657675
2776,garns,5.4697572559675685
10860,uæres,5.469567888504231
9249,støre,5.469184897943579
7758,robes,5.469107889249726
5860,moles,5.468884998694069
5612,løset,5.468680991116119
9725,taver,5.468062948180874
9498,sædet,5.467488618317012
10509,udret,5.467477232482653
280,aksen,5.467296909073396
2911,glase,5.467131820667849
10074,træse,5.467015372542643
8587,slave,5.466925966370595
8864,sogne,5.46679597870091
319,alket,5.466743909459906
3876,ilder,5.466716924449811
7546,rakle,5.466646128289483
9541,sødet,5.466632666450426
1216,bules,5.4661425438192115
7569,ranke,5.46603738381771
2490,fores,5.465888017254028
9849,tiske,5.465882347778188
8921,sovet,5.465850175030961
9734,teaks,5.465826479688918
10724,unges,5.4647570799468355
2856,gides,5.464721408300505
11133,vlies,5.464446943081545
8037,røste,5.464113011815596
601,baler,5.4640304555373325
4858,kuler,5.463832295394104
8956,spier,5.463687546152209
11700,ørsel,5.463678370340708
3133,guset,5.4634551340631035
9486,såter,5.463184749420697
6292,nulet,5.462878876515787
8467,skuet,5.462726532006323
8843,snøre,5.461914202401505
5147,lande,5.461860526644922
2048,erles,5.461668786158449
6183,negls,5.461440358858104
5570,læset,5.461213462498051
2728,gader,5.461160769223534
9317,svale,5.460946742097148
5622,mades,5.460177105600641
4443,klens,5.460095582146968
9425,sylte,5.459921776777461
9707,tarme,5.459452274054007
6220,niers,5.459270368353446
1529,diges,5.458943710883264
10279,tødes,5.458880724599134
4261,kante,5.458055379950657
9267,suite,5.457924976154448
10903,valse,5.457912889270517
9960,toves,5.457847783630277
5034,kæles,5.457803153967666
7984,ræste,5.457775151493799
7818,rudet,5.457561709196755
5089,køles,5.457526094008849
4346,keres,5.45740168016441
8654,slåer,5.456958944847387
9804,tiger,5.45643109567661
477,arken,5.456156837640048
6930,oters,5.456145104719498
4771,kroet,5.455536671740183
10010,trode,5.455257801435882
9123,stode,5.455198150492417
7684,ridte,5.455148698247134
512,arvet,5.455113486211176
5263,lidse,5.454830917034033
4399,kisen,5.454512821856273
9434,synet,5.454248196306254
4699,koste,5.453839610950944
5931,mules,5.453739995589882
9828,times,5.453677794515942
3048,grise,5.452972356472839
8480,skure,5.452528823007638
9263,sugen,5.452288651870717
1428,dager,5.452200379420868
5650,maler,5.451916452970191
9685,tands,5.451659602043663
2606,fures,5.451483501453693
8252,simre,5.45145619686825
5120,ladne,5.45126775881894
9505,sælde,5.450885244659859
7871,ruske,5.450622237406089
5424,lunet,5.45040537358208
8408,skrat,5.449798865520722
5116,laden,5.449705208541612
8665,slæne,5.449649865384365
9579,søled,5.448577703157969
8813,snude,5.4483243522954234
11011,vents,5.448291654950347
11108,viser,5.44813852289682
7673,revns,5.447997136665674
7884,rutne,5.447493719975561
4205,kadre,5.447201869930398
4785,kruse,5.446857838570346
11701,ørsen,5.446351324010002
10962,vater,5.446340672535245
7004,parte,5.446018281986067
2170,faser,5.445950694152294
9662,takle,5.445209161762276
9766,tenes,5.444768226049455
4839,kudes,5.444157426912978
392,anger,5.44403054582253
9611,sørge,5.443249480841422
330,aloer,5.443106948864524
529,asket,5.442785370109416
418,anled,5.44261106106751
7335,pules,5.442431866236669
9678,talks,5.442346790946259
7535,ragen,5.441427030870536
1446,dames,5.441266547650652
9994,trevs,5.441242544646551
2054,erots,5.44109832690225
7881,ruten,5.441067584856279
6294,nulre,5.440695173844409
2839,genst,5.4404534611874675
9911,tolde,5.440386691928649
7222,poles,5.440033318262881
8622,sloge,5.439956187562186
10533,udset,5.439729059079221
498,arres,5.439705901095211
2986,godes,5.439322300011414
9350,sviet,5.4391424735397855
1643,drile,5.439106411142487
9500,sæger,5.4390340847364715
10671,ulder,5.438998442710856
5563,læret,5.438913985598601
6977,paler,5.43874687095601
5330,lives,5.438433411452286
9554,søger,5.438177348858726
10893,valet,5.438174494077235
1423,dabes,5.437944335003239
10141,tvies,5.437335617836666
6893,orket,5.436956048786469
7588,raspe,5.436837607596394
7822,ruens,5.436794067782245
11694,ørkes,5.436480247300119
8104,sapen,5.4362876547468435
9903,toger,5.4357722885924735
10003,trins,5.43451747810151
1828,dåres,5.43448434388788
1465,daske,5.434422272368127
11079,vines,5.4344002546702646
9644,taber,5.433857556906132
11173,voser,5.433829770322705
1725,dulre,5.433772179950512
2753,galts,5.433268657077964
660,baste,5.433109929422754
4894,kurle,5.4328026406032235
2748,galne,5.432683490891353
1573,doges,5.432659149454384
11474,ædles,5.432316135008873
8686,smale,5.432106510668581
1746,duren,5.431730512755308
269,agter,5.431542373186085
11500,ældes,5.4314984494788865
6447,odlet,5.431138990432677
485,armet,5.430960026203146
9287,sunge,5.430548220401827
260,aglet,5.43045069353035
7599,ravet,5.430211840529567
9692,tanke,5.430179591188984
411,anker,5.430106622879318
7707,rikse,5.42956296825865
2891,giste,5.429443565767341
4694,korts,5.429381365933783
8634,sluge,5.429171148114074
4250,kanel,5.429023554442188
7566,range,5.4290026097452095
2886,gisle,5.428973420799833
6467,oldet,5.428970892393236
8754,snadr,5.428658899393439
11575,ætser,5.428604596353692
5587,lødes,5.428482912773622
4687,korne,5.428380723996553
9894,toens,5.427898038812726
1108,brase,5.427711575236166
5262,lidre,5.427642850971034
5259,lidet,5.426907471913548
6379,næser,5.426827338082464
4669,koner,5.426755951964829
10026,trude,5.426497126022874
8187,senil,5.425815407774035
10094,tudse,5.425801551065948
4315,kaves,5.425711935192293
11369,ydres,5.425656389020878
9181,stude,5.425276658553385
9969,traks,5.425118395314086
5526,lædes,5.425004259653874
6452,ofres,5.424884660092269
7697,riget,5.424100983088262
8655,slået,5.423983983752738
5335,lodse,5.42395514521564
2147,fanes,5.423893624572929
6871,ordel,5.423820371747188
5701,maste,5.423781322533642
6212,nider,5.423677017135709
9919,tomes,5.423329789435251
8698,smert,5.423229663843226
8314,skade,5.423206369798707
9075,stedn,5.422551578786846
8365,skien,5.422529187187111
10936,varen,5.422463344441996
4536,knase,5.422240032778627
9396,syder,5.422135501364619
48,adels,5.422128099880933
4696,kosen,5.4218531881174945
10954,vasen,5.421331907665875
8894,somre,5.421214468659527
10326,uanet,5.420509997719947
10700,ulves,5.41968085214265
3021,grats,5.419269458159941
2884,gisel,5.418937854450565
3016,grane,5.418635614975449
9365,svire,5.41830104448965
7556,ramse,5.417968524775226
561,avler,5.417353205962586
134,afles,5.41732714126376
5314,lirke,5.416867843346933
5319,liske,5.416553495747597
6872,orden,5.416281843074902
472,arien,5.416175529011795
1890,døser,5.415932148322565
1735,duner,5.415753346420065
5287,limes,5.415695782373023
9659,tagne,5.4150786415151035
524,asiet,5.414793817530785
9418,sylen,5.414774140536241
5377,loves,5.414758342900126
11516,ænser,5.4138520118660916
603,balet,5.413697138809134
